Year,Round,Team1,Team2,Team1.Result,Team2.Result,Team1.1QTotal,Team1.2QTotal,Team1.3QTotal,Team1.4QTotal,Team2.1QTotal,Team2.2QTotal,Team2.3QTotal,Team2.4QTotal
2019,16,GWS Giants,Brisbane Lions,L,W,8,27,19,20,28,27,27,12
2019,17,West Coast Eagles,Collingwood Magpies,L,W,39,25,12,1,37,14,9,18
2019,17,Sydney Swans,Carlton Blues,L,W,17,11,14,20,17,21,11,20
2019,17,Hawthorn Hawks,Freemantle Dockers,W,L,19,16,27,22,3,24,14,12
2019,17,Essendon Bombers,North Melbourne Kangaroos,W,L,28,19,32,7,39,8,14,20
2019,17,Gold Coast Suns,Adelaide Crows,L,W,15,2,14,25,37,44,43,27
2019,17,Geelong Cats,St Kilda Saints,W,L,28,9,19,28,14,25,4,14
2019,17,Richmond Tigers,GWS Giants,W,L,28,15,30,21,2,27,14,24
2019,17,Western Bulldogs,Melbourne Demons,W,L,21,20,14,19,20,20,9,17
2019,17,Port Adelaide Power,Brisbane Lions,L,W,13,9,18,9,43,23,18,13
2019,18,Adelaide Crows,Essendon Bombers,L,W,17,35,7,16,8,25,26,37
2019,18,Richmond Tigers,Port Adelaide Power,W,L,34,19,26,22,16,14,19,14
2019,18,Carlton Blues,Gold Coast Suns,W,L,33,20,31,15,15,14,37,9
2019,18,GWS Giants,Collingwood Magpies,W,L,50,6,27,39,7,13,29,26
2019,18,Brisbane Lions,North Melbourne Kangaroos,W,L,10,21,23,33,30,20,0,25
2019,18,Freemantle Dockers,Sydney Swans,W,L,7,17,19,9,10,24,2,15
2019,18,Geelong Cats,Hawthorn Hawks,L,W,14,15,23,9,25,27,19,14
2019,18,Melbourne Demons,West Coast Eagles,L,W,11,39,20,8,31,20,13,27
2019,18,St Kilda Saints,Western Bulldogs,W,L,41,31,15,29,6,23,36,24
2019,19,Collingwood Magpies,Richmond Tigers,L,W,8,16,16,26,34,27,17,20
2019,19,Hawthorn Hawks,Brisbane Lions,L,W,22,11,11,16,19,16,31,21
2019,19,Carlton Blues,Adelaide Crows,W,L,28,22,19,18,24,10,13,13
2019,19,West Coast Eagles,North Melbourne Kangaroos,W,L,41,17,36,27,19,21,8,24
2019,19,St Kilda Saints,Melbourne Demons,W,L,20,17,33,34,33,7,26,19
2019,19,Port Adelaide Power,GWS Giants,L,W,3,21,15,16,17,13,19,7
2019,19,Western Bulldogs,Freemantle Dockers,W,L,50,28,17,18,27,8,16,15
2019,19,Sydney Swans,Geelong Cats,L,W,21,20,7,32,7,34,29,37
2019,19,Gold Coast Suns,Essendon Bombers,L,W,26,19,15,36,9,20,39,38
2019,20,North Melbourne Kangaroos,Hawthorn Hawks,W,L,8,28,29,21,28,13,14,9
2019,20,Essendon Bombers,Port Adelaide Power,L,W,16,21,21,9,32,21,40,33
2019,20,GWS Giants,Sydney Swans,W,L,22,31,17,13,30,10,25,16
2019,20,Freemantle Dockers,Geelong Cats,W,L,16,27,19,33,31,9,14,7
2019,20,Melbourne Demons,Richmond Tigers,L,W,19,19,8,14,20,21,34,18
2019,20,Adelaide Crows,St Kilda Saints,W,L,25,15,27,25,20,15,14,21
2019,20,Collingwood Magpies,Gold Coast Suns,W,L,28,38,38,16,20,12,7,12
2019,20,Carlton Blues,West Coast Eagles,L,W,25,14,15,21,17,42,32,8
2019,20,Brisbane Lions,Western Bulldogs,W,L,27,22,26,23,5,15,38,22
2019,21,GWS Giants,Hawthorn Hawks,L,W,13,12,1,3,19,19,27,20
2019,21,Melbourne Demons,Collingwood Magpies,L,W,10,8,8,27,5,31,26,8
2019,21,Port Adelaide Power,Sydney Swans,W,L,28,21,33,21,22,12,20,2
2019,21,Brisbane Lions,Gold Coast Suns,W,L,27,38,47,32,14,13,2,24
2019,21,Geelong Cats,North Melbourne Kangaroos,W,L,9,18,22,20,2,9,3,0
2019,21,Essendon Bombers,Western Bulldogs,L,W,7,2,4,20,39,24,39,35
2019,21,St Kilda Saints,Freemantle Dockers,W,L,27,14,14,17,15,25,22,7
2019,21,Richmond Tigers,Carlton Blues,W,L,20,20,14,19,2,10,18,15
2019,22,Melbourne Demons,Sydney Swans,L,W,19,2,4,17,25,20,18,32
2019,22,Carlton Blues,St Kilda Saints,W,L,16,19,17,26,21,25,10,12
2019,22,Brisbane Lions,Geelong Cats,W,L,9,23,16,27,14,35,8,17
2019,22,Adelaide Crows,Collingwood Magpies,L,W,5,13,8,22,14,21,39,40
2019,22,North Melbourne Kangaroos,Port Adelaide Power,W,L,39,41,31,33,7,15,26,10
2019,22,Freemantle Dockers,Essendon Bombers,L,W,22,8,10,15,31,21,19,16
2019,22,Richmond Tigers,West Coast Eagles,W,L,19,22,15,32,43,7,7,25
2019,22,GWS Giants,Western Bulldogs,L,W,33,27,4,1,43,14,36,33
2019,22,Hawthorn Hawks,Gold Coast Suns,W,L,38,29,18,33,8,9,19,12
2019,23,Collingwood Magpies,Essendon Bombers,W,L,19,24,14,19,38,6,13,8
